THERMO ALL
   300.000  1000.000  5000.000
N2                121286N   2               G  0300.00   5000.00  1000.00      1
 0.02926640E+02 0.01487977e-01-0.05684761e-05 0.01009704e-08-0.06753351e-13    2
-0.09227977E+04 0.05980528e+02 0.03298677e+02 0.01408240e-01-0.03963222e-04    3
 0.05641515E-07-0.02444855E-10-0.01020900E+05 0.03950372e+02                   4
H                 L 7/88H   1               G   200.000  3500.000  1000.000    1
 2.50104422E+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00    2
 2.54747466E+04-4.65341317E-01 2.50104422e+00 0.00000000e+00 0.00000000e+00    3
 0.00000000E+00 0.00000000e+00 2.54747466e+04-4.65341317e-01                   4
H2                121286H   2               G  0300.00   5000.00  1000.00      1
 0.02991423E+02 0.07000644e-02-0.05633829e-06-0.09231578e-10 0.01582752e-13    2
-0.08350340E+04-0.01355110E+02 0.03298124e+02 0.08249442e-02-0.08143015e-05    3
-0.09475434E-09 0.04134872e-11-0.01012521e+05-0.03294094e+02                   4
O                 120186O   1               G  0300.00   5000.00  1000.00      1
 0.02542060E+02-0.02755062E-03-0.03102803E-07 0.04551067e-10-0.04368052e-14    2
 0.02923080E+06 0.04920308e+02 0.02946429e+02-0.01638166e-01 0.02421032e-04    3
-0.01602843E-07 0.03890696e-11 0.02914764e+06 0.02963995e+02                   4
O2                121386O   2               G  0300.00   5000.00  1000.00      1
 0.03697578E+02 0.06135197e-02-0.01258842e-05 0.01775281e-09-0.01136435e-13    2
-0.01233930E+05 0.03189166e+02 0.03212936e+02 0.01127486e-01-0.05756150e-05    3
 0.01313877E-07-0.08768554E-11-0.01005249E+05 0.06034738e+02                   4
OH         8/12/99 tHERmH   1O   1    0    0G   300.000  5000.000 1357.000     1
 2.62599754E+00 1.31992406e-03-3.59724670e-07 4.25630800e-11-1.82048016e-15    2
 4.12085374E+03 7.10667307e+00 3.43586219e+00 2.02235804e-04-1.13546412e-07    3
 2.42445149E-10-7.43651031E-14 3.74321252e+03 2.45014127e+00                   4
H2O                20387H   2O   1          G  0300.00   5000.00  1000.00      1
 0.02672146E+02 0.03056293e-01-0.08730260e-05 0.01200996e-08-0.06391618e-13    2
-0.02989921E+06 0.06862817e+02 0.03386842e+02 0.03474982e-01-0.06354696e-04    3
 0.06968581E-07-0.02506588E-10-0.03020811E+06 0.02590233e+02                   4
CO                121286C   1O   1          G  0300.00   5000.00  1000.00      1
 0.03025078E+02 0.01442689e-01-0.05630828e-05 0.01018581e-08-0.06910952e-13    2
-0.01426835E+06 0.06108218e+02 0.03262452e+02 0.01511941e-01-0.03881755e-04    3
 0.05581944E-07-0.02474951E-10-0.01431054E+06 0.04848897e+02                   4
HCO               121286H   1C   1O   1     G  0300.00   5000.00  1000.00      1
 0.03557271E+02 0.03345573e-01-0.01335006e-04 0.02470573e-08-0.01713851e-12    2
 0.03916324E+05 0.05552299e+02 0.02898330e+02 0.06199147e-01-0.09623084e-04    3
 0.01089825E-06-0.04574885E-10 0.04159922e+05 0.08983614e+02                   4
CO2               121286C   1O   2          G  0300.00   5000.00  1000.00      1
 0.04453623E+02 0.03140169e-01-0.01278411e-04 0.02393997e-08-0.01669033e-12    2
-0.04896696E+06-0.09553959E+01 0.02275725e+02 0.09922072e-01-0.01040911e-03    3
 0.06866687E-07-0.02117280E-10-0.04837314E+06 0.01018849e+03                   4
CH3               121286C   1H   3          G  0300.00   5000.00  1000.00      1
 0.02844052E+02 0.06137974e-01-0.02230345e-04 0.03785161e-08-0.02452159e-12    2
 0.01643781E+06 0.05452697e+02 0.02430443e+02 0.01112410e+00-0.01680220e-03    3
 0.01621829E-06-0.05864953E-10 0.01642378e+06 0.06789794e+02                   4
CH4               121286C   1H   4          G  0300.00   5000.00  1000.00      1
 0.01683479E+02 0.01023724e+00-0.03875129e-04 0.06785585e-08-0.04503423e-12    2
-0.01008079E+06 0.09623395e+02 0.07787415e+01 0.01747668e+00-0.02783409e-03    3
 0.03049708E-06-0.01223931E-09-0.09825229E+05 0.01372219e+03                   4
HO2        8/12/99 tHERmH   1O   2    0    0G   300.000  5000.000 1390.000     1
 4.10547423E+00 2.38452835e-03-8.06347989e-07 1.24191723e-10-7.16400108e-15    2
 3.98127689E+02 3.12515836e+00 3.18310656e+00 3.66767950e-03-9.32385122e-07    3
-3.25852919E-10 1.51139912e-13 8.09181013e+02 8.39371099e+00                   4
H2O2              120186H   2O   2          G  0300.00   5000.00  1000.00      1
 0.04573167E+02 0.04336136e-01-0.01474689e-04 0.02348904e-08-0.01431654e-12    2
-0.01800696E+06 0.05011370e+01 0.03388754e+02 0.06569226e-01-0.01485013e-05    3
-0.04625806E-07 0.02471515e-10-0.01766315e+06 0.06785363e+02                   4
CH2O              121286C   1H   2O   1     G  0300.00   5000.00  1000.00      1
 0.02995606E+02 0.06681321e-01-0.02628955e-04 0.04737153e-08-0.03212517e-12    2
-0.01532037E+06 0.06912572e+02 0.01652731e+02 0.01263144e+00-0.01888168e-03    3
 0.02050031E-06-0.08413237E-10-0.01486540E+06 0.01378482e+03                   4
CH3O              121686C   1H   3O   1     G  0300.00   3000.00  1000.00      1
 0.03770800E+02 0.07871497e-01-0.02656384e-04 0.03944431e-08-0.02112616e-12    2
 0.01278325E+04 0.02929575e+02 0.02106204e+02 0.07216595e-01 0.05338472e-04    3
-0.07377636E-07 0.02075611e-10 0.09786011e+04 0.01315218e+03                   4
C2H6       1/14/95 tHERmC   2H   6    0    0G   300.000  5000.000 1384.000     1
 6.10683385E+00 1.29236361e-02-4.42527196e-06 6.87391726e-10-3.98901732e-14    2
-1.37500014E+04-1.30081250E+01-2.52854344E-02 2.40764754e-02-1.11893472e-05    3
 2.08340901E-09-5.29868616E-14-1.12345534E+04 2.11648750e+01                   4
C2H4              121286C   2H   4          G  0300.00   5000.00  1000.00      1
 0.03528419E+02 0.01148518e+00-0.04418385e-04 0.07844601e-08-0.05266848e-12    2
 0.04428289E+05 0.02230389e+02-0.08614880e+01 0.02796163e+00-0.03388677e-03    3
 0.02785152E-06-0.09737879E-10 0.05573046e+05 0.02421149e+03                   4
C2H5               12387C   2H   5          G  0300.00   5000.00  1000.00      1
 0.07190480E+02 0.06484077e-01-0.06428065e-05-0.02347879e-08 0.03880877e-12    2
 0.01067455E+06-0.01478089E+03 0.02690702e+02 0.08719133e-01 0.04419839e-04    3
 0.09338703E-08-0.03927773E-10 0.01287040e+06 0.01213820e+03                   4
CH2               120186C   1H   2          G  0250.00   4000.00  1000.00      1
 0.03636408E+02 0.01933057e-01-0.01687016e-05-0.01009899e-08 0.01808256e-12    2
 0.04534134E+06 0.02156561e+02 0.03762237e+02 0.01159819e-01 0.02489585e-05    3
 0.08800836E-08-0.07332435E-11 0.04536791e+06 0.01712578e+02                   4
CH                121286C   1H   1          G  0300.00   5000.00  1000.00      1
 0.02196223E+02 0.02340381e-01-0.07058201e-05 0.09007582e-09-0.03855040e-13    2
 0.07086723E+06 0.09178373e+02 0.03200202e+02 0.02072876e-01-0.05134431e-04    3
 0.05733890E-07-0.01955533E-10 0.07045259e+06 0.03331588e+02                   4
C2H                81193C   2H   1          G  0300.00   4000.00  1000.00      1
 0.03986367E+02 0.03143123e-01-0.01267243e-04 0.02924363e-08-0.02716320e-12    2
 0.06655884E+06 0.01191063e+02 0.02737704e+02 0.08048446e-01-0.09244310e-04    3
 0.06525259E-07-0.01939580E-10 0.06683813e+06 0.07300220e+02                   4
C2H2              121386C   2H   2          G  0300.00   5000.00  1000.00      1
 0.04436770E+02 0.05376039e-01-0.01912817e-04 0.03286379e-08-0.02156710e-12    2
 0.02566766E+06-0.02800338E+02 0.02013562e+02 0.01519045e+00-0.01616319e-03    3
 0.09078992E-07-0.01912746E-10 0.02612444e+06 0.08805378e+02                   4
C2H3               12787C   2H   3          G  0300.00   5000.00  1000.00      1
 0.05933468E+02 0.04017746e-01-0.03966740e-05-0.01441267e-08 0.02378644e-12    2
 0.03185435E+06-0.08530313E+02 0.02459276e+02 0.07371476e-01 0.02109873e-04    3
-0.01321642E-07-0.01184784E-10 0.03335225e+06 0.01155620e+03                   4
CH3OH             121686C   1H   4O   1     G  0300.00   5000.00  1000.00      1
 0.04029061E+02 0.09376593e-01-0.03050254e-04 0.04358793e-08-0.02224723e-12    2
-0.02615791E+06 0.02378196e+02 0.02660115e+02 0.07341508e-01 0.07170051e-04    3
-0.08793194E-07 0.02390570e-10-0.02535348e+06 0.01123263e+03                   4
CH2OH             120186H   3C   1O   1     G  0250.00   4000.00  1000.00      1
 0.06327520E+02 0.03608271e-01-0.03201547e-05-0.01938750e-08 0.03509705e-12    2
-0.04474509E+05-0.08329366E+02 0.02862628e+02 0.01001527e+00-0.05285436e-05    3
-0.05138540E-07 0.02246041e-10-0.03349679e+05 0.01039794e+03                   4
CH2CO             121686C   2H   2O   1     G  0300.00   5000.00  1000.00      1
 0.06038817E+02 0.05804840e-01-0.01920954e-04 0.02794485e-08-0.01458868e-12    2
-0.08583402E+05-0.07657581E+02 0.02974971e+02 0.01211871e+00-0.02345046e-04    3
-0.06466685E-07 0.03905649e-10-0.07632637e+05 0.08673553e+02                   4
HCCO               32387H   1C   2O   1     G  0300.00   4000.00  1000.00      1
 0.06758073E+02 0.02000400e-01-0.02027607e-05-0.01041132e-08 0.01965165e-12    2
